"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
30,10,0.1,0.5,0.5,0,0.5,1,11,0.6769,0.6769
10,40,0.1,0.5,0.5,0,0.5,1,41,0.7018,0.7018
30,40,0.1,0.5,0.5,0,0.5,1,41,0.73,0.73
10,10,0.5,0.5,0.5,0,0.5,1,11,0.7488,0.7488
30,10,0.5,0.5,0.5,0,0.5,1,11,0.6761,0.6761
10,40,0.5,0.5,0.5,0,0.5,1,41,0.7137,0.7137
30,40,0.5,0.5,0.5,0,0.5,1,41,0.7222,0.7222
10,10,0.1,0.1,0.1,0.5,0.5,1,11,1.175,1.175
30,10,0.1,0.1,0.1,0.5,0.5,1,11,1.0501,1.0501
10,40,0.1,0.1,0.1,0.5,0.5,1,41,1.1391,1.1391
30,40,0.1,0.1,0.1,0.5,0.5,1,41,1.0118,1.0118
10,10,0.5,0.1,0.1,0.5,0.5,1,11,1.0356,1.0356
30,10,0.5,0.1,0.1,0.5,0.5,1,11,0.9714,0.9714
10,40,0.5,0.1,0.1,0.5,0.5,1,41,1.0575,1.0575
30,40,0.5,0.1,0.1,0.5,0.5,1,41,0.9762,0.9762
10,10,0.1,0.5,0.1,0.5,0.5,1,11,0.8549,0.8549
30,10,0.1,0.5,0.1,0.5,0.5,1,11,0.859,0.859
10,40,0.1,0.5,0.1,0.5,0.5,1,41,0.7792,0.7792
30,40,0.1,0.5,0.1,0.5,0.5,1,41,0.8212,0.8212
10,10,0.5,0.5,0.1,0.5,0.5,1,11,0.749,0.749
30,10,0.5,0.5,0.1,0.5,0.5,1,11,0.7865,0.7865
10,40,0.5,0.5,0.1,0.5,0.5,1,41,0.8594,0.8594
30,40,0.5,0.5,0.1,0.5,0.5,1,41,0.7503,0.7503
10,10,0.1,0.1,0.5,0.5,0.5,1,11,1.1163,1.1163
30,10,0.1,0.1,0.5,0.5,0.5,1,11,0.9891,0.9891
10,40,0.1,0.1,0.5,0.5,0.5,1,41,1.0584,1.0584
30,40,0.1,0.1,0.5,0.5,0.5,1,41,1.0011,1.0011
10,10,0.5,0.1,0.5,0.5,0.5,1,11,1.028,1.028
30,10,0.5,0.1,0.5,0.5,0.5,1,11,0.9557,0.9557
