"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,40,0.5,0.5,0.1,0,0.5,1,41,0.4863,0.4863
30,40,0.5,0.5,0.1,0,0.5,1,41,0.5107,0.5107
10,10,0.1,0.1,0.5,0,0.5,1,11,0.1842,0.1842
30,10,0.1,0.1,0.5,0,0.5,1,11,0.1309,0.1309
10,40,0.1,0.1,0.5,0,0.5,1,41,0.2048,0.2048
30,40,0.1,0.1,0.5,0,0.5,1,41,0.1443,0.1443
10,10,0.5,0.1,0.5,0,0.5,1,11,0.2037,0.2037
30,10,0.5,0.1,0.5,0,0.5,1,11,0.1443,0.1443
10,40,0.5,0.1,0.5,0,0.5,1,41,0.1865,0.1865
30,40,0.5,0.1,0.5,0,0.5,1,41,0.1456,0.1456
10,10,0.1,0.5,0.5,0,0.5,1,11,0.4998,0.4998
30,10,0.1,0.5,0.5,0,0.5,1,11,0.5646,0.5646
10,40,0.1,0.5,0.5,0,0.5,1,41,0.5398,0.5398
30,40,0.1,0.5,0.5,0,0.5,1,41,0.5765,0.5765
10,10,0.5,0.5,0.5,0,0.5,1,11,0.5939,0.5939
30,10,0.5,0.5,0.5,0,0.5,1,11,0.5111,0.5111
10,40,0.5,0.5,0.5,0,0.5,1,41,0.5104,0.5104
30,40,0.5,0.5,0.5,0,0.5,1,41,0.5186,0.5186
10,10,0.1,0.1,0.1,0.5,0.5,1,11,0.1309,0.1309
30,10,0.1,0.1,0.1,0.5,0.5,1,11,0.1051,0.1051
10,40,0.1,0.1,0.1,0.5,0.5,1,41,0.1191,0.1191
30,40,0.1,0.1,0.1,0.5,0.5,1,41,0.1022,0.1022
10,10,0.5,0.1,0.1,0.5,0.5,1,11,0.1527,0.1527
30,10,0.5,0.1,0.1,0.5,0.5,1,11,0.1249,0.1249
10,40,0.5,0.1,0.1,0.5,0.5,1,41,0.1384,0.1384
30,40,0.5,0.1,0.1,0.5,0.5,1,41,0.1267,0.1267
10,10,0.1,0.5,0.1,0.5,0.5,1,11,0.4953,0.4953
30,10,0.1,0.5,0.1,0.5,0.5,1,11,0.5132,0.5132
10,40,0.1,0.5,0.1,0.5,0.5,1,41,0.5355,0.5355
30,40,0.1,0.5,0.1,0.5,0.5,1,41,0.4607,0.4607
10,10,0.5,0.5,0.1,0.5,0.5,1,11,0.5756,0.5756
30,10,0.5,0.5,0.1,0.5,0.5,1,11,0.4947,0.4947
10,40,0.5,0.5,0.1,0.5,0.5,1,41,0.5266,0.5266
30,40,0.5,0.5,0.1,0.5,0.5,1,41,0.5153,0.5153
10,10,0.1,0.1,0.5,0.5,0.5,1,11,0.1517,0.1517
30,10,0.1,0.1,0.5,0.5,0.5,1,11,0.1293,0.1293
10,40,0.1,0.1,0.5,0.5,0.5,1,41,0.1436,0.1436
30,40,0.1,0.1,0.5,0.5,0.5,1,41,0.1152,0.1152
10,10,0.5,0.1,0.5,0.5,0.5,1,11,0.1901,0.1901
30,10,0.5,0.1,0.5,0.5,0.5,1,11,0.1369,0.1369
10,40,0.5,0.1,0.5,0.5,0.5,1,41,0.178,0.178
30,40,0.5,0.1,0.5,0.5,0.5,1,41,0.1446,0.1446
10,10,0.1,0.5,0.5,0.5,0.5,1,11,0.5012,0.5012
30,10,0.1,0.5,0.5,0.5,0.5,1,11,0.5162,0.5162
10,40,0.1,0.5,0.5,0.5,0.5,1,41,0.5019,0.5019
30,40,0.1,0.5,0.5,0.5,0.5,1,41,0.5151,0.5151
10,10,0.5,0.5,0.5,0.5,0.5,1,11,0.5552,0.5552
30,10,0.5,0.5,0.5,0.5,0.5,1,11,0.5313,0.5313
10,40,0.5,0.5,0.5,0.5,0.5,1,41,0.5303,0.5303
30,40,0.5,0.5,0.5,0.5,0.5,1,41,0.5204,0.5204
10,10,0.1,0.1,0.1,0,0,5,15,0.1842,0.0792
30,10,0.1,0.1,0.1,0,0,5,15,0.1326,0.0566
10,40,0.1,0.1,0.1,0,0,5,45,0.1713,0.0788
30,40,0.1,0.1,0.1,0,0,5,45,0.1307,0.0575
10,10,0.5,0.1,0.1,0,0,5,15,0.1939,0.0833
30,10,0.5,0.1,0.1,0,0,5,15,0.1461,0.0577
10,40,0.5,0.1,0.1,0,0,5,45,0.2045,0.0927
30,40,0.5,0.1,0.1,0,0,5,45,0.1348,0.057
10,10,0.1,0.5,0.1,0,0,5,15,0.5179,0.2347
30,10,0.1,0.5,0.1,0,0,5,15,0.5412,0.2443
10,40,0.1,0.5,0.1,0,0,5,45,0.4725,0.2259
30,40,0.1,0.5,0.1,0,0,5,45,0.4756,0.22
10,10,0.5,0.5,0.1,0,0,5,15,0.5153,0.2454
30,10,0.5,0.5,0.1,0,0,5,15,0.5304,0.2236
10,40,0.5,0.5,0.1,0,0,5,45,0.5227,0.2597
30,40,0.5,0.5,0.1,0,0,5,45,0.514,0.2474
10,10,0.1,0.1,0.5,0,0,5,15,0.2079,0.0805
30,10,0.1,0.1,0.5,0,0,5,15,0.1359,0.0637
10,40,0.1,0.1,0.5,0,0,5,45,0.1734,0.0803
30,40,0.1,0.1,0.5,0,0,5,45,0.1199,0.0579
10,10,0.5,0.1,0.5,0,0,5,15,0.2239,0.1099
30,10,0.5,0.1,0.5,0,0,5,15,0.1522,0.0635
10,40,0.5,0.1,0.5,0,0,5,45,0.2205,0.1024
30,40,0.5,0.1,0.5,0,0,5,45,0.1693,0.0744
10,10,0.1,0.5,0.5,0,0,5,15,0.5198,0.2249
30,10,0.1,0.5,0.5,0,0,5,15,0.5125,0.2434
10,40,0.1,0.5,0.5,0,0,5,45,0.5095,0.2362
30,40,0.1,0.5,0.5,0,0,5,45,0.5253,0.2053
10,10,0.5,0.5,0.5,0,0,5,15,0.5725,0.2747
30,10,0.5,0.5,0.5,0,0,5,15,0.5194,0.2303
10,40,0.5,0.5,0.5,0,0,5,45,0.5622,0.2457
30,40,0.5,0.5,0.5,0,0,5,45,0.544,0.2261
10,10,0.1,0.1,0.1,0.5,0,5,15,0.1295,0.0598
30,10,0.1,0.1,0.1,0.5,0,5,15,0.1164,0.0507
10,40,0.1,0.1,0.1,0.5,0,5,45,0.1244,0.0523
30,40,0.1,0.1,0.1,0.5,0,5,45,0.1071,0.0474
10,10,0.5,0.1,0.1,0.5,0,5,15,0.1531,0.0746
30,10,0.5,0.1,0.1,0.5,0,5,15,0.1331,0.0563
10,40,0.5,0.1,0.1,0.5,0,5,45,0.1413,0.0715
30,40,0.5,0.1,0.1,0.5,0,5,45,0.1338,0.0616
10,10,0.1,0.5,0.1,0.5,0,5,15,0.5344,0.2242
30,10,0.1,0.5,0.1,0.5,0,5,15,0.476,0.2277
10,40,0.1,0.5,0.1,0.5,0,5,45,0.5116,0.2293
30,40,0.1,0.5,0.1,0.5,0,5,45,0.5337,0.2209
10,10,0.5,0.5,0.1,0.5,0,5,15,0.504,0.2457
30,10,0.5,0.5,0.1,0.5,0,5,15,0.5355,0.2228
10,40,0.5,0.5,0.1,0.5,0,5,45,0.4565,0.2404
30,40,0.5,0.5,0.1,0.5,0,5,45,0.4976,0.2507
10,10,0.1,0.1,0.5,0.5,0,5,15,0.1591,0.071
30,10,0.1,0.1,0.5,0.5,0,5,15,0.126,0.0529
10,40,0.1,0.1,0.5,0.5,0,5,45,0.157,0.0749
30,40,0.1,0.1,0.5,0.5,0,5,45,0.1281,0.0548
10,10,0.5,0.1,0.5,0.5,0,5,15,0.2404,0.1077
30,10,0.5,0.1,0.5,0.5,0,5,15,0.2233,0.0944
10,40,0.5,0.1,0.5,0.5,0,5,45,0.2501,0.0992
30,40,0.5,0.1,0.5,0.5,0,5,45,0.1795,0.0937
10,10,0.1,0.5,0.5,0.5,0,5,15,0.5573,0.2335
30,10,0.1,0.5,0.5,0.5,0,5,15,0.5009,0.2199
10,40,0.1,0.5,0.5,0.5,0,5,45,0.492,0.1858
30,40,0.1,0.5,0.5,0.5,0,5,45,0.5045,0.2236
10,10,0.5,0.5,0.5,0.5,0,5,15,0.5561,0.2494
30,10,0.5,0.5,0.5,0.5,0,5,15,0.5046,0.2433
10,40,0.5,0.5,0.5,0.5,0,5,45,0.5526,0.2347
30,40,0.5,0.5,0.5,0.5,0,5,45,0.5624,0.2519
10,10,0.1,0.1,0.1,0,0.5,5,15,0.1759,0.1138
30,10,0.1,0.1,0.1,0,0.5,5,15,0.1354,0.0714
10,40,0.1,0.1,0.1,0,0.5,5,45,0.1925,0.1179
30,40,0.1,0.1,0.1,0,0.5,5,45,0.1372,0.0742
10,10,0.5,0.1,0.1,0,0.5,5,15,0.1869,0.1165
30,10,0.5,0.1,0.1,0,0.5,5,15,0.147,0.0781
10,40,0.5,0.1,0.1,0,0.5,5,45,0.2042,0.1073
30,40,0.5,0.1,0.1,0,0.5,5,45,0.1348,0.0762
10,10,0.1,0.5,0.1,0,0.5,5,15,0.5215,0.2542
30,10,0.1,0.5,0.1,0,0.5,5,15,0.5303,0.2156
10,40,0.1,0.5,0.1,0,0.5,5,45,0.4963,0.2321
30,40,0.1,0.5,0.1,0,0.5,5,45,0.4923,0.2207
10,10,0.5,0.5,0.1,0,0.5,5,15,0.5621,0.268
30,10,0.5,0.5,0.1,0,0.5,5,15,0.5169,0.234
10,40,0.5,0.5,0.1,0,0.5,5,45,0.5416,0.244
30,40,0.5,0.5,0.1,0,0.5,5,45,0.5318,0.2327
10,10,0.1,0.1,0.5,0,0.5,5,15,0.1981,0.1204
30,10,0.1,0.1,0.5,0,0.5,5,15,0.1494,0.0755
10,40,0.1,0.1,0.5,0,0.5,5,45,0.2233,0.1184
30,40,0.1,0.1,0.5,0,0.5,5,45,0.1422,0.0754
10,10,0.5,0.1,0.5,0,0.5,5,15,0.1977,0.1246
30,10,0.5,0.1,0.5,0,0.5,5,15,0.1324,0.0751
10,40,0.5,0.1,0.5,0,0.5,5,45,0.2206,0.1199
30,40,0.5,0.1,0.5,0,0.5,5,45,0.1286,0.0787
10,10,0.1,0.5,0.5,0,0.5,5,15,0.5432,0.2528
30,10,0.1,0.5,0.5,0,0.5,5,15,0.5399,0.2333
10,40,0.1,0.5,0.5,0,0.5,5,45,0.5461,0.2553
30,40,0.1,0.5,0.5,0,0.5,5,45,0.481,0.253
10,10,0.5,0.5,0.5,0,0.5,5,15,0.5327,0.2711
30,10,0.5,0.5,0.5,0,0.5,5,15,0.5299,0.2315
10,40,0.5,0.5,0.5,0,0.5,5,45,0.5493,0.2386
30,40,0.5,0.5,0.5,0,0.5,5,45,0.5105,0.2332
10,10,0.1,0.1,0.1,0.5,0.5,5,15,0.114,0.0616
30,10,0.1,0.1,0.1,0.5,0.5,5,15,0.1129,0.0579
10,40,0.1,0.1,0.1,0.5,0.5,5,45,0.1332,0.0669
30,40,0.1,0.1,0.1,0.5,0.5,5,45,0.1074,0.0506
10,10,0.5,0.1,0.1,0.5,0.5,5,15,0.1431,0.0877
30,10,0.5,0.1,0.1,0.5,0.5,5,15,0.1122,0.0648
10,40,0.5,0.1,0.1,0.5,0.5,5,45,0.1499,0.0745
30,40,0.5,0.1,0.1,0.5,0.5,5,45,0.1129,0.0556
10,10,0.1,0.5,0.1,0.5,0.5,5,15,0.5408,0.2247
30,10,0.1,0.5,0.1,0.5,0.5,5,15,0.5126,0.22
10,40,0.1,0.5,0.1,0.5,0.5,5,45,0.5054,0.2262
